Name HD,Name HIP,C,Spec,ref,Mass,ref,[Fe/H],ref,R_HK,ref
Sun,,,G2V,,1,,0,,,
123,518,A,G4V,1,,,-0.01,2,-4.644,1
166,544,,G8V,1,,,0.12,3,-4.458,1
870,1031,,K0V,4,,,-0.2,2,-4.824,4
1237,1292,A,G8.5V,4,,,-0.09,2,-4.496,4
1273,1349,Aa,G5V,4,,,-0.65,2,-4.802,4
1461,1499,,G3V,1,,,0.16,3,-5.03,5
1562,1598,,G1V,1,,,-0.34,2,-4.979,1
1581,1599,,F9.5V,4,,,-0.18,3,-4.855,4
1835,1803,,G5V,4,,,0.22,3,-4.44,5
2025,1936,,K3V,4,,,-0.27,3,-4.933,4
2151,2021,,G0V,4,,,-0.09,3,-5.006,4
3196,2762,Aa,F8.5V,1,,,-0.07,2,-4.461,1
3443,2941,A,G7V,4,0.94,6,-0.14,2,-4.94,5
3651,3093,A,K0V,1,,,0.16,3,-5.02,5
3765,3206,,K2.5V,1,,,0.12,3,-5.101,1
4256,3535,,K3IV-V,1,,,0.22,3,-5.042,1
4308,3497,A,G6V,4,,,-0.18,3,-4.853,4
4391,3583,A,G5V,4,,,-0.25,2,-4.669,4
4614,3821,A,G0V,7,,,-0.17,3,-4.93,5
4628,3765,Aa,K2V,1,,,-0.19,3,-5.071,1
4635,3876,,K2.5V+,1,,,,,-4.67,5
4676,3810,Aa,F8V,1,1.22,8,-0.06,2,-4.917,1
4747,3850,Aa,G9V,4,,,-0.25,3,-4.72,5
4813,3909,,F7V,1,,,-0.15,2,-4.78,1
4915,3979,,G6V,1,,,-0.18,3,-4.86,5
5015,4151,,F8V,7,,,,,-5.02,9
5133,4148,,K2.5V,4,,,-0.13,3,-4.751,4
6582,5336,Aa,K1V,1,,,-0.83,2,-5.031,1
7570,5862,,F9V,4,,,0.14,3,-4.861,4
7590,5944,,G0-V,1,,,-0.07,3,-4.53,5
7693,5842,C,K2+V,4,0.92 1,0,0.05,3,-4.58,4
7924,6379,,K0,7,,,-0.12,3,-4.83,5
8997,6917,Aa,K2.5V,1,,,-0.59,2,-4.557,1
9407,7339,,G6.5V,1,,,,,-5.01,5
9540,7235,,G8.5V,4,,,-0.04,3,-4.6,5
9770,7372,A,K2V,4,0.74 1,0,-0.65,2,-4.354,4
9826,7513,A,F8V,7,1.2  1,1,0.12,3,-5.04,5
10008,7576,,G9V,1,,,-0.03,1,-4.53,1
10086,7734,,G5V,1,,,0.09,3,-4.6,5
10307,7918,Aa,G1V,1,,,-0.05,2,-5.017,1
10360,7751,B,K2V,4,,,-0.2,3,-4.899,4
10476,7981,,K0V,1,,,-0.07,3,-4.95,5
10647,7978,A,F9V,4,,,-0.08,3,-4.675,4
10700,8102,,G8.5V,4,,,-0.36,3,-4.98,5
10780,8362,,G9V,1,,,-0.06,3,-4.69,5
12051,9269,,G9V,1,,,0.15,3,-5.05,5
12846,9829,,G2V-,1,,,-0.2,3,-4.98,5
13445,10138,A,K1V,4,,,-0.2,3,-4.768,4
13974,10644,Aa,G0V,7,,,-0.39,2,-4.71,5
14214,10723,Aa,G0IV-,1,,,0.06,2,-5.114,1
14412,10798,,G8V,4,,,-0.45,3,-4.85,5
14802,11072,A,G0V,4,,,-0.08,2,-5.05,5
16160,12114,Aa,K3V,1,,,0.08,2,-5.094,1
16287,12158,Aa,K2.5V,1,,,0.08,3,-4.504,1
16673,12444,Aa,F8V,1,,,-0.11,2,-4.586,1
16739,12623,Aa,F9IV-V,1,1.38 1,2,0.14,2,-5.012,1
16765,12530,A,F7V,1,,,-0.24,2,-4.4,1
16895,12777,A,F7V,7,,,0.02,3,-4.97,5
17051,12653,A,F9V,4,,,0.09,3,-4.625,4
17382,13081,Aa,K0V,1,,,,,-4.45,5
17925,13402,,K1.5V,4,,,0.11,3,-4.357,4
18143,13642,A,K2IV,1,,,0.21,3,-5.119,1
18632,13976,,K2.5V,1,,,0.18,3,-4.418,1
18757,14286,A,G1.5V,1,,,-0.44,2,-4.987,1
18803,14150,,G6V,1,,,0.09,3,-4.88,5
19373,14632,,F9.5V,1,,,0.13,3,-5.02,5
19994,14954,A,F8.5V,1,,,0.17,3,-4.88,5
20010,14879,A,F6V,4,,,-0.16,2,-4.901,4
20165,15099,,K1V,1,,,-0.04,3,-4.86,5
20407,15131,,G5V,4,,,-0.46,2,-4.734,4
20619,15442,,G2V,1,,,-0.18,3,-4.83,5
20630,15457,,G5Vvar,7,,,0.1,3,-4.47,9
20794,15510,,G8V,4,,,-0.23,3,-4.998,4
20807,15371,A,G0V,4,,,-0.23,3,-4.827,4
21175,15799,A,K1V,4,,,0.12,2,-4.773,4
22049,16537,A,K2V,4,,,-0.15,4,-4.51,5
22484,16852,,F9V,7,,,-0.03,3,-5.12,5
22879,17147,,F9V,7,,,-0.76,3,-4.92,5
23356,17420,,K2.5V,4,,,-0.07,3,-4.807,4
23484,17439,Aa,K2V,4,,,0.04,3,-4.534,4
24238,18324,,K2V,1,,,-0.32,3,-4.98,5
24409,18413,A,G3V,1,,,-0.25,2,-4.927,1
24496,18267,A,G7V,1,,,-0.01,3,-4.87,5
25329,18915,,K3Vp,1,,,-1.69,2,-4.94,5
25457,18859,,F7V,1,,,-0.1,2,-4.39,5
25665,19422,,K2.5V,1,,,-0.06,3,-4.847,1
