Num, FullName,"[Fe/H] [-]","M* Msun","Per d","msini Msun","a AU"
1,2M00110648+6609349,-0.370823,0.923444,244.53564,0.116064,0.6887
2,2M00114326+7112562,-0.534219,1.251942,25.556105,0.966304,0.12498
3,2M00225114+6202031,-0.12926,0.659883,20.218648,0.0103456,0.12515
4,2M00230781+6635311,0.132665,2.251461,49.562371,0.0474853,0.34131
5,2M00241366+5907430,-0.554713,1.345437,199.301,0.14441,0.68872
6,2M00283822+5833027,0.18498,0.844387,86.519001,0.0129621,0.35818
7,2M00283971+8530377,0.095452,1.228334,41.265049,0.00439574,0.24968
8,2M00293898+6641295,-0.569554,1.352067,43.652711,0.191498,0.24561
9,2M00295684+6356284,-0.170303,2.190596,94.001199,0.0694524,0.51464
10,2M00301928+6648359,-0.379957,1.174127,18.220843,0.00875542,0.14226
11,2M00330093+8454150,-0.10033,1.068009,10.925002,0.00405385,0.09824
12,2M00334291+6236198,-0.136952,2.98535,14.568467,0.0164729,0.16747
13,2M00334320+8523017,0.059662,1.263622,76.57287,0.028383,0.37591
14,2M00344509+8512058,0.150057,1.237631,123.73619,0.255487,0.46039
15,2M00370172+8455256,-0.434377,1.248852,13.466896,0.0217877,0.11792
16,2M00393636+8359378,-0.626156,1.14986,125.63072,0.185596,0.46546
17,2M00394524+8449597,0.193773,1.388053,0.57061087,0.00390425,0.01499
18,2M00471754+8456301,-0.207,0.891386,66.509697,0.00784232,0.30739
19,2M00475315+8504023,-0.13238,1.238772,36.589029,0.0243439,0.22866
20,2M00513648+8443583,0.334085,1.248576,98.321238,0.0772153,0.43131
21,2M01214291+8604187,-0.047259,0.529928,13.716268,0.00686275,0.08998
22,2M01250592+8444252,-0.116993,1.297377,307.21396,0.03149,0.95639
23,2M01304108+8553271,-0.103354,1.377935,217.05118,0.0142026,0.7812
24,2M01340081+8535530,-0.251762,1.503774,108.59818,0.0117463,0.50773
25,2M01471839+8454501,0.066922,0.546598,8.7725009,0.00302106,0.06781
26,2M01565559+8526305,0.077404,0.715686,86.175071,0.00574223,0.33972
27,2M03033027+7944165,-0.398286,1.266041,933.09036,0.409319,1.67723
28,2M03072395+7944317,0.004151,0.662735,43.998169,0.322568,0.16326
29,2M03080601+7950502,-0.097657,1.71737,184.47932,0.303666,0.68136
30,2M03123190+8018137,-0.15592,0.627149,9.1755756,0.056251,0.06933
31,2M03145671+8003470,0.008894,0.811323,144.64497,0.0142139,0.49717
32,2M03192158+7942033,-0.17017,0.653605,23.757502,0.00974582,0.13899
33,2M03221892+7846028,-0.027839,1.98726,106.37813,0.828011,0.43793
34,2M03225614+7935522,-0.11071,0.752386,10.747765,0.325803,0.0682
35,2M03252046+7909078,-0.31111,0.560669,4.6196981,0.00794967,0.04435
36,2M03262508+8007344,0.012101,1.330092,1168.5496,2.1871,1.24867
37,2M03280181+4707518,0.16556,1.403364,154.8365,0.0443592,0.61882
38,2M03281799+4621291,0.11796,0.605999,104.94401,0.148735,0.31832
39,2M03321708+7951573,-0.10427,0.597417,185.19826,0.00826904,0.53068
40,2M03325390+8047161,0.30172,0.975718,38.063015,0.271357,0.1865
41,2M03360098+8032080,0.14384,0.876676,207.23368,0.0387169,0.6373
42,2M03360422+4600053,-0.013842,2.00803,2.6372694,0.0142147,0.04691
43,2M03392748+4702546,-0.41866,3.260282,782.20107,0.371727,2.29244
44,2M03405638+8018109,0.18489,0.852336,36.156187,0.182383,0.17829
45,2M03411894+4631030,0.198673,1.899069,19.221372,0.0143211,0.17303
46,2M03430919+4806542,0.10127,1.081667,216.0162,0.0860177,0.68728
47,2M03431065+3235323,-0.077139,2.680225,158.86332,0.0359558,0.79033
48,2M03452106+3218178,-0.34407,2.439776,121.53409,0.241725,0.60697
49,2M03464334+4926498,0.080444,0.771811,200.49008,0.0546597,0.58751
50,2M03475791+4759452,-0.186471,1.768541,43.202069,0.0167466,0.28957
51,2M03523763+4834406,-0.406312,1.284225,497.80085,0.209808,1.20791
52,2M03543039+7939477,-0.13792,0.544238,88.427149,0.0766377,0.29048
53,2M03552887+8008310,0.17153,0.905732,96.111241,0.143003,0.3603
54,2M03553099+5203331,-0.045495,6.455408,19.524069,0.0669372,0.2624
55,2M03585279+5155016,-0.18299,0.581184,4.1218733,0.0137866,0.04133
56,2M04001229+5119415,-0.091707,3.062579,477.34366,0.157834,1.67866
57,2M04015072+5222098,-0.28458,1.061308,30.829526,0.115353,0.18323
58,2M04032444+7917485,-0.244366,1.350961,107.17261,0.194345,0.44629
59,2M04073011+7923186,0.21366,0.833154,6.1011939,0.00791446,0.0611
60,2M04184590+5604107,-0.18949,1.215892,50.830665,0.240279,0.25416
61,2M04212706+5543164,0.017714,2.281372,3.4746994,0.00502765,0.05902
62,2M04223850+5550407,-0.16659,4.89594,761.75554,0.398725,2.63078
63,2M04265695+5405371,-0.217834,1.950645,99.907424,0.0353354,0.52022
64,2M04282685+5456563,-0.132765,6.401968,80.987914,0.0916975,0.6738
65,2M04293442+5449033,-0.003823,2.279156,24.433996,0.0119443,0.21611
66,2M04294257+5629439,-0.380587,1.213776,5.738066,0.0194129,0.06621
67,2M04302445+5458419,0.072714,1.007176,23.0593,0.0424211,0.15461
68,2M04373998+5736454,0.21414,1.253604,187.06647,0.155487,0.63847
69,2M04411627+5855354,-0.274694,2.041393,55.839932,0.828651,0.289
70,2M04421084+5802243,-0.434175,1.143013,274.16541,0.0547427,0.83706
71,2M04452079+3803475,0.16285,0.851942,164.98841,0.0360949,0.54287
72,2M04473998+3846403,-0.14273,0.47873,1.3193624,0.00585476,0.01827
73,2M04481529+3734462,-0.18192,0.680725,62.553303,0.197765,0.22887
74,2M04491188+4003096,-0.143451,4.485432,161.15244,0.068736,0.94613
75,2M04504284+5753538,0.23283,1.202994,18.345497,0.557964,0.1123
76,2M04521987+3745440,-0.1756,1.789419,18.642519,0.0106447,0.16639
77,2M05155531+2319522,-0.015145,0.710439,210.16153,0.0291564,0.60095
78,2M05163616+4235353,-0.10129,0.689869,23.511781,0.213531,0.11857
79,2M05202674+4251053,-0.01752,3.162934,82.070403,0.0378188,0.53824
80,2M05224382+4300425,-0.087549,3.519654,656.69412,1.86124,1.69474
81,2M05225538+4304332,0.08477,0.607511,1.2618537,0.00199754,0.01931
82,2M05310225+2735570,-0.667161,0.954822,153.81474,0.0656375,0.52924
83,2M05311298+2718532,-0.288338,1.543198,408.05365,0.0467422,1.21968
84,2M05335134+2625329,-0.041539,2.529953,153.49435,0.734705,0.64498
85,2M05445028+2847562,-0.339534,1.691707,5.2849455,0.00692345,0.07056
86,2M05452339+2829265,-0.12348,0.566282,120.10785,0.0148608,0.3874
87,2M05454972+3008464,-0.052221,0.719285,40.77395,0.0513736,0.1984
88,2M05464438+2742184,-0.33209,0.755403,11.995452,0.295982,0.07492
89,2M05490717+2835566,0.10094,0.880403,8.2270818,0.00703314,0.07604
90,2M05493518+2811360,-0.404024,1.583667,544.55656,0.0945856,1.46347
91,2M05495459+2808249,0.038555,1.582092,68.047227,0.534603,0.31304
92,2M05504316+2808440,0.14353,0.881967,10.073684,0.207614,0.07603
93,2M05561326+3008008,-0.05923,0.875715,0.43411071,0.00253967,0.01071
